satisfaction_level,number_project,average_montly_hours,time_spend_company,left,promotion_last_5years,sales,salary
0.38,2,157,3,1,0,sales,low
0.8,5,262,6,1,0,sales,medium
0.11,7,272,4,1,0,sales,medium
0.72,5,223,5,1,0,sales,low
0.37,2,159,3,1,0,sales,low
0.41,2,153,3,1,0,sales,low
0.1,6,247,4,1,0,sales,low
0.92,5,259,5,1,0,sales,low
0.89,5,224,5,1,0,sales,low
0.42,2,142,3,1,0,sales,low
0.45,2,135,3,1,0,sales,low
0.11,6,305,4,1,0,sales,low
0.84,4,234,5,1,0,sales,low
0.41,2,148,3,1,0,sales,low
0.36,2,137,3,1,0,sales,low
0.38,2,143,3,1,0,sales,low
0.45,2,160,3,1,0,sales,low
0.78,4,255,6,1,0,sales,low
0.45,2,160,3,1,1,sales,low
0.76,5,262,5,1,0,sales,low
0.11,6,282,4,1,0,sales,low
0.38,2,147,3,1,0,sales,low
0.09,6,304,4,1,0,sales,low
0.46,2,139,3,1,0,sales,low
0.4,2,158,3,1,0,sales,low
0.89,5,242,5,1,0,sales,low
0.82,4,239,5,1,0,sales,low
0.4,2,135,3,1,0,sales,low
0.41,2,128,3,1,0,accounting,low
0.38,2,132,3,1,0,accounting,low
0.09,6,294,4,1,0,accounting,low
0.45,2,134,3,1,0,hr,low
0.4,2,145,3,1,0,hr,low
0.45,2,140,3,1,0,hr,low
0.84,4,246,6,1,0,hr,low
0.1,6,255,4,1,0,technical,low
0.38,2,137,3,1,0,technical,low
0.45,2,126,3,1,0,technical,low
0.11,6,306,4,1,0,technical,low
0.41,2,152,3,1,0,technical,low
0.87,5,269,5,1,0,technical,low
0.45,2,158,3,1,0,technical,low
0.4,2,127,3,1,0,technical,low
0.1,7,281,4,1,0,technical,low
0.09,6,276,4,1,0,technical,low
0.84,3,182,4,1,0,technical,low
0.4,2,147,3,1,0,support,low
0.57,3,273,6,1,0,support,low
0.4,2,148,3,1,0,support,low
0.43,2,147,3,1,0,support,low
0.13,6,152,2,1,0,support,low
0.44,2,135,3,1,0,support,low
0.38,2,134,3,1,0,support,low
0.39,2,132,3,1,0,support,low
0.1,7,307,4,1,0,support,low
0.37,2,140,3,1,0,support,low
0.11,7,255,4,1,0,support,low
0.1,6,309,4,1,0,technical,low
0.38,2,128,3,1,0,technical,low
0.85,4,225,5,1,0,technical,low
0.85,5,226,5,1,0,management,medium
0.11,7,308,4,1,0,IT,medium
0.1,6,244,5,1,0,IT,medium
0.36,2,132,3,1,0,IT,medium
0.11,6,286,4,1,0,IT,medium
0.81,6,161,4,1,0,IT,medium
0.43,2,153,3,1,0,product_mng,medium
0.9,4,264,6,1,0,product_mng,medium
0.76,5,223,5,1,0,product_mng,medium
0.43,2,135,3,1,0,product_mng,medium
0.74,2,277,3,1,0,IT,medium
0.09,5,275,4,1,0,product_mng,medium
0.45,2,149,3,1,0,product_mng,high
0.09,7,295,4,1,0,product_mng,low
0.11,6,277,4,1,0,product_mng,medium
0.11,7,306,4,1,0,product_mng,medium
0.1,6,295,4,1,0,product_mng,medium
0.4,2,137,3,1,0,marketing,medium
0.43,2,157,3,1,0,sales,low
0.39,2,142,3,1,0,accounting,low
0.45,2,140,3,1,0,support,low
0.38,2,151,3,1,0,technical,low
0.79,4,139,3,1,1,management,low
0.84,4,249,6,1,0,marketing,low
0.11,6,291,4,1,0,marketing,low
0.11,6,305,4,1,0,marketing,low
0.17,5,232,3,1,0,sales,low
0.44,2,132,3,1,0,sales,low
0.37,2,130,3,1,0,sales,low
0.1,6,291,4,1,0,sales,low
0.4,2,130,3,1,0,sales,low
0.89,5,246,5,1,0,sales,low
0.42,2,143,3,1,0,sales,low
0.46,2,129,3,1,0,sales,low
0.09,6,255,4,1,0,sales,low
0.37,2,155,3,1,0,sales,low
0.1,6,265,4,1,0,sales,low
0.1,6,279,4,1,0,sales,low
